repeat_index,page_index,start_offset_bytes,update_count,first_touch_update,last_touch_update
0,0,0,1200665,0,536870906
0,1,2097152,1074662,11,536870907
0,2,4194304,1069913,12,536870908
0,3,6291456,1059600,74,536868902
0,4,8388608,1060363,13,536870909
0,5,10485760,1056875,137,536868965
0,6,12582912,1058779,199,536868871
0,7,14680064,1052896,75,536869035
0,8,16777216,1056424,14,536870910
0,9,18874368,1048648,2122,536870441
0,10,20971520,1051657,138,536868737
0,11,23068672,1051942,2246,536869512
0,12,25165824,1056585,2060,536870328
0,13,27262976,1050362,200,536870471
0,14,29360128,1054863,76,536869036
0,15,31457280,1049588,2184,536869786
0,16,33554432,1049884,15,536870911
0,17,35651584,1049245,263,536868935
0,18,37748736,1049366,2123,536870335
0,19,39845888,1050945,2371,536870442
0,20,41943040,1045469,387,536870287
0,21,44040192,1050129,139,536869099
0,22,46137344,1050111,2495,536868967
0,23,48234496,1048278,2247,536870080
0,24,50331648,1051584,2061,536870329
0,25,52428800,1050616,2309,536870002
0,26,54525952,1047499,201,536870472
0,27,56623104,1047539,449,536870261
0,28,58720256,1047972,77,536869252
0,29,60817408,1051151,325,536868997
0,30,62914560,1050191,2433,536870504
0,31,65011712,1046023,2185,536869787
0,32,67108864,1055986,16,536870896
0,33,69206016,1045819,11562,536869715
0,34,71303168,1066065,264,536870061
0,35,73400320,1045743,4363,536870535
0,36,75497472,1051540,2124,536870658
0,37,77594624,1043895,7843,536870336
0,38,79691776,1062296,2372,536870347
0,39,81788928,1044221,4489,536870443
0,40,83886080,1057234,388,536870761
0,41,85983232,1043287,11149,536870767
0,42,88080384,1053202,140,536868505
0,43,90177536,1045741,1934,536869592
0,44,92274688,1068022,3856,536870634
0,45,94371840,1047484,2496,536869982
0,46,96468992,1051027,3796,536870081
0,47,98566144,1048719,2248,536870574
0,48,100663296,1049741,2062,536870330
0,49,102760448,1046746,4859,536870653
0,50,104857600,1044434,7609,536870539
0,51,106954752,1050522,2310,536870191
0,52,109051904,1048492,4301,536870473
0,53,111149056,1049129,202,536870701
0,54,113246208,1046535,450,536870262
0,55,115343360,1043868,5903,536866419
0,56,117440512,1048907,78,536869253
0,57,119537664,1044861,11624,536870216
0,58,121634816,1044504,6843,536866155
0,59,123731968,1052260,326,536869469
0,60,125829120,1048837,2434,536869066
0,61,127926272,1046493,11611,536870505
0,62,130023424,1041322,11640,536867525
0,63,132120576,1047935,2186,536870294
0,64,134217728,1055320,17,536870897
0,65,136314880,1049105,1809,536870468
0,66,138412032,1047796,2624,536869096
0,67,140509184,1047231,7086,536869716
0,68,142606336,1059670,265,536870239
0,69,144703488,1050434,395,536866141
0,70,146800640,1044069,4364,536870650
0,71,148897792,1044714,11880,536870243
0,72,150994944,1048793,2125,536870647
0,73,153092096,1051384,10309,536870659
0,74,155189248,1042976,7844,536870337
0,75,157286400,1045597,10312,536869887
0,76,159383552,1048743,2373,536870137
0,77,161480704,1058813,6533,536870372
0,78,163577856,1041130,12362,536870662
0,79,165675008,1047621,4490,536870516
0,80,167772160,1051053,399,536869289
0,81,169869312,1051994,389,536870762
0,82,171966464,1043681,11116,536869731
0,83,174063616,1044721,6906,536870768
0,84,176160768,1047881,141,536870340
0,85,178257920,1047036,3669,536869762
0,86,180355072,1048388,1935,536869593
0,87,182452224,1043572,2927,536867898
0,88,184549376,1068476,4798,536870568
0,89,186646528,1046996,3857,536870635
0,90,188743680,1044564,3753,536867689
0,91,190840832,1048772,2497,536869983
0,92,192937984,1053006,6348,536865665
0,93,195035136,1045564,3797,536870082
0,94,197132288,1048782,2249,536870527
0,95,199229440,1051220,4933,536870719
0,96,201326592,1050782,2063,536869031
0,97,203423744,1047536,9935,536870331
0,98,205520896,1050477,4608,536870654
0,99,207618048,1042928,3919,536869697
0,100,209715200,1045526,2380,536870144
0,101,211812352,1044766,6029,536870564
0,102,213909504,1047663,2311,536870192
0,103,216006656,1048814,2441,536870205
0,104,218103808,1047235,4302,536870474
0,105,220200960,1045200,11874,536870151
0,106,222298112,1049817,3731,536870702
0,107,224395264,1058012,203,536870593
0,108,226492416,1044255,3507,536870263
0,109,228589568,1051954,451,536870375
0,110,230686720,1043773,4739,536870270
0,111,232783872,1045475,4747,536870196
0,112,234881024,1048767,79,536869254
0,113,236978176,1045970,3607,536870641
0,114,239075328,1047120,12492,536870317
0,115,241172480,1042570,11625,536870217
0,116,243269632,1043910,6844,536868637
0,117,245366784,1041611,12174,536870665
0,118,247463936,1049450,6279,536870013
0,119,249561088,1044204,327,536870069
0,120,251658240,1050072,2445,536870103
0,121,253755392,1051365,2435,536870779
0,122,255852544,1041396,10124,536866395
