repeat_index,page_index,start_offset_bytes,update_count,first_touch_update,last_touch_update
0,0,0,1487331,0,1342177242
0,1,2097152,1350217,11,1342177243
0,2,4194304,1333043,12,1342177244
0,3,6291456,1332395,74,1342174562
0,4,8388608,1329348,13,1342177269
0,5,10485760,1326185,137,1342175848
0,6,12582912,1320501,199,1342176177
0,7,14680064,1320342,75,1342174563
0,8,16777216,1325425,14,1342177270
0,9,18874368,1315104,2122,1342176888
0,10,20971520,1316401,138,1342174635
0,11,23068672,1319317,2246,1342175849
0,12,25165824,1324171,2060,1342176178
0,13,27262976,1313969,200,1342174838
0,14,29360128,1316269,76,1342174564
0,15,31457280,1314304,2184,1342176220
0,16,33554432,1315503,15,1342177247
0,17,35651584,1317986,263,1342177271
0,18,37748736,1310471,2123,1342175829
0,19,39845888,1310474,2371,1342176889
0,20,41943040,1313042,387,1342174627
0,21,44040192,1315188,139,1342176320
0,22,46137344,1313860,2495,1342176251
0,23,48234496,1312686,2247,1342174737
0,24,50331648,1318172,2061,1342175912
0,25,52428800,1317403,2309,1342176434
0,26,54525952,1313913,201,1342177197
0,27,56623104,1310897,449,1342177165
0,28,58720256,1314439,77,1342174649
0,29,60817408,1317097,325,1342174565
0,30,62914560,1314198,2433,1342176951
0,31,65011712,1311007,2185,1342176205
0,32,67108864,1317407,16,1342177248
0,33,69206016,1305317,11562,1342172798
0,34,71303168,1316880,264,1342177272
0,35,73400320,1305732,12111,1342176922
0,36,75497472,1313997,2124,1342175975
0,37,77594624,1308844,7843,1342175015
0,38,79691776,1318316,2372,1342176242
0,39,81788928,1305579,14863,1342176890
0,40,83886080,1314159,388,1342174628
0,41,85983232,1304443,13128,1342175050
0,42,88080384,1316095,140,1342176838
0,43,90177536,1307514,11686,1342175732
0,44,92274688,1314242,3856,1342176567
0,45,94371840,1308814,2496,1342176252
0,46,96468992,1311708,3808,1342175165
0,47,98566144,1310079,2248,1342175678
0,48,100663296,1317435,2062,1342175913
0,49,102760448,1310032,7781,1342176684
0,50,104857600,1307488,7770,1342175179
0,51,106954752,1318005,2310,1342176435
0,52,109051904,1309803,4301,1342175919
0,53,111149056,1309976,202,1342177198
0,54,113246208,1310824,450,1342177166
0,55,115343360,1310091,7551,1342172488
0,56,117440512,1314646,78,1342173019
0,57,119537664,1305358,11624,1342174650
0,58,121634816,1306038,6843,1342172778
0,59,123731968,1319784,326,1342174566
0,60,125829120,1311613,2434,1342175565
0,61,127926272,1311248,11611,1342176952
0,62,130023424,1306952,11640,1342172563
0,63,132120576,1313211,2186,1342176206
0,64,134217728,1318998,17,1342177265
0,65,136314880,1315373,1809,1342176237
0,66,138412032,1306513,11563,1342174176
0,67,140509184,1309597,11930,1342172774
0,68,142606336,1325943,265,1342177261
0,69,144703488,1321339,395,1342177273
0,70,146800640,1307208,4364,1342175328
0,71,148897792,1307860,12112,1342176923
0,72,150994944,1313728,2125,1342176967
0,73,153092096,1312400,10309,1342176720
0,74,155189248,1307888,7844,1342176423
0,75,157286400,1308228,13247,1342176768
0,76,159383552,1315576,2373,1342176243
0,77,161480704,1327909,6533,1342176498
0,78,163577856,1306134,12362,1342176891
0,79,165675008,1307845,4490,1342175755
0,80,167772160,1315968,399,1342174629
0,81,169869312,1320987,389,1342177142
0,82,171966464,1305887,11483,1342177070
0,83,174063616,1306562,11150,1342176193
0,84,176160768,1316553,141,1342176839
0,85,178257920,1313581,3669,1342174381
0,86,180355072,1310416,1935,1342175733
0,87,182452224,1305345,2927,1342174638
0,88,184549376,1334564,4798,1342177003
0,89,186646528,1314726,3857,1342177015
0,90,188743680,1308909,3753,1342175852
0,91,190840832,1310433,2497,1342177130
0,92,192937984,1316491,6348,1342177277
0,93,195035136,1310185,3797,1342176471
0,94,197132288,1309887,2249,1342176558
0,95,199229440,1310186,10433,1342177040
0,96,201326592,1312731,2063,1342176315
0,97,203423744,1311204,9935,1342176917
0,98,205520896,1312032,4860,1342177010
0,99,207618048,1305093,7782,1342176685
0,100,209715200,1306811,7610,1342175180
0,101,211812352,1307950,26893,1342175088
0,102,213909504,1310773,2311,1342176181
0,103,216006656,1314728,6471,1342176436
0,104,218103808,1310898,4302,1342175920
0,105,220200960,1310303,12050,1342177082
0,106,222298112,1309878,6155,1342176974
0,107,224395264,1313364,203,1342177199
0,108,226492416,1308613,3507,1342175347
